time [s]	17012355 PDP 8 No	17012355 PDP 8 Time	17012355 PDP 8 Trigger	17012355 PDP 8 FIG	17012355 PDP 8 qmsTP	17012355 PDP 8 m2	17012355 PDP 8 h2
0.000	0	004:46:15.969 	1.8e-08	1e-99	2.84e-05	2.64e-10	-3.458e+15
0.312	1	004:46:16.281 	1.8e-08	1e-99	2.84e-05	2.61e-10	-3.926e+15
0.625	2	004:46:16.594 	1.8e-08	1e-99	2.84e-05	2.6e-10	-4.082e+15
0.937	3	004:46:16.906 	1.8e-08	1e-99	2.84e-05	2.54e-10	-5.018e+15
1.250	4	004:46:17.219 	1.8e-08	1e-99	2.84e-05	2.55e-10	-4.862e+15
1.562	5	004:46:17.531 	1.8e-08	1e-99	2.85e-05	2.56e-10	-4.706e+15
1.875	6	004:46:17.844 	1.8e-08	1e-99	2.85e-05	2.57e-10	-4.55e+15
2.187	7	004:46:18.156 	1.8e-08	1e-99	2.85e-05	2.63e-10	-3.614e+15
2.500	8	004:46:18.469 	1.8e-08	1e-99	2.85e-05	3.08e-10	3.406e+15
2.812	9	004:46:18.781 	1.7e-08	1e-99	2.85e-05	3.41e-10	8.554e+15
3.125	10	004:46:19.094 	1.8e-08	1e-99	2.86e-05	4.06e-10	1.8694e+16
3.437	11	004:46:19.406 	1.8e-08	1e-99	2.86e-05	4.83e-10	3.0706e+16
3.750	12	004:46:19.719 	1.8e-08	1e-99	2.88e-05	7.25e-10	6.8458e+16
4.062	13	004:46:20.031 	1.8e-08	1e-99	2.89e-05	8.86e-10	9.3574e+16
4.375	14	004:46:20.344 	1.8e-08	1e-99	2.9e-05	1.09e-09	1.25398e+17
4.687	15	004:46:20.656 	1.7e-08	1e-99	2.93e-05	1.52e-09	1.92478e+17
5.000	16	004:46:20.969 	1.7e-08	1e-99	2.95e-05	1.78e-09	2.33038e+17
5.312	17	004:46:21.281 	1.7e-08	1e-99	2.97e-05	2.03e-09	2.72038e+17
5.625	18	004:46:21.594 	1.8e-08	1e-99	3.01e-05	2.6e-09	3.60958e+17
5.937	19	004:46:21.906 	1.8e-08	1e-99	3.03e-05	2.89e-09	4.06198e+17
6.250	20	004:46:22.219 	1.8e-08	1e-99	3.06e-05	3.19e-09	4.52998e+17
6.562	21	004:46:22.531 	1.8e-08	1e-99	3.11e-05	3.8e-09	5.48158e+17
6.875	22	004:46:22.844 	1.8e-08	1e-99	3.13e-05	4.11e-09	5.96518e+17
7.187	23	004:46:23.156 	1.8e-08	1e-99	3.16e-05	4.42e-09	6.44878e+17
