time [s]	34314 PDP 8 No	34314 PDP 8 Time	34314 PDP 8 Trigger	34314 PDP 8 FIG	34314 PDP 8 qmsTP	34314 PDP 8 m2	34314 PDP 8 h2
-20.0	-20.8	000:55:35.125 	1.8e-08	1e-99	2.23e-05	3.49e-10	-2.492e+16
-19.688	-20.475	000:55:35.437 	1.7e-08	1e-99	2.23e-05	3.45e-10	-2.532e+16
-19.375	-20.15	000:55:35.750 	1.7e-08	1e-99	2.23e-05	3.59e-10	-2.392e+16
-19.063	-19.825	000:55:36.062 	1.7e-08	1e-99	2.23e-05	3.5e-10	-2.482e+16
-18.75	-19.5	000:55:36.375 	1.8e-08	1e-99	2.23e-05	3.54e-10	-2.442e+16
-18.438	-19.175	000:55:36.687 	1.8e-08	1e-99	2.23e-05	3.57e-10	-2.412e+16
-18.125	-18.85	000:55:37.000 	1.8e-08	1e-99	2.23e-05	3.57e-10	-2.412e+16
-17.813	-18.525	000:55:37.312 	1.8e-08	1e-99	2.23e-05	3.57e-10	-2.412e+16
-17.5	-18.2	000:55:37.625 	1.8e-08	1e-99	2.23e-05	3.55e-10	-2.432e+16
-17.188	-17.875	000:55:37.937 	1.9e-08	1e-99	2.23e-05	3.53e-10	-2.452e+16
-16.875	-17.55	000:55:38.250 	1.8e-08	1e-99	2.23e-05	3.51e-10	-2.472e+16
-16.563	-17.225	000:55:38.562 	1.7e-08	1e-99	2.23e-05	3.54e-10	-2.442e+16
-16.25	-16.9	000:55:38.875 	1.7e-08	1e-99	2.23e-05	3.57e-10	-2.412e+16
-15.938	-16.575	000:55:39.187 	1.8e-08	1e-99	2.22e-05	3.6e-10	-2.382e+16
-15.625	-16.25	000:55:39.500 	1.8e-08	1e-99	2.22e-05	3.5e-10	-2.482e+16
-15.313	-15.925	000:55:39.812 	1.7e-08	1e-99	2.22e-05	3.54e-10	-2.442e+16
-15.0	-15.6	000:55:40.125 	1.7e-08	1e-99	2.22e-05	3.56e-10	-2.422e+16
-14.688	-15.275	000:55:40.437 	1.7e-08	1e-99	2.23e-05	3.61e-10	-2.372e+16
-14.375	-14.95	000:55:40.750 	1.8e-08	1e-99	2.23e-05	3.52e-10	-2.462e+16
-14.063	-14.625	000:55:41.062 	1.8e-08	1e-99	2.23e-05	3.48e-10	-2.502e+16
-13.75	-14.3	000:55:41.375 	1.7e-08	1e-99	2.23e-05	3.45e-10	-2.532e+16
-13.438	-13.975	000:55:41.687 	1.7e-08	1e-99	2.23e-05	3.58e-10	-2.402e+16
-13.125	-13.65	000:55:42.000 	1.7e-08	1e-99	2.23e-05	3.52e-10	-2.462e+16
-12.813	-13.325	000:55:42.312 	1.8e-08	1e-99	2.23e-05	3.52e-10	-2.462e+16
-12.5	-13.0	000:55:42.625 	1.8e-08	1e-99	2.23e-05	3.58e-10	-2.402e+16
-12.188	-12.675	000:55:42.937 	1.7e-08	1e-99	2.23e-05	3.49e-10	-2.492e+16
-11.875	-12.35	000:55:43.250 	1.8e-08	1e-99	2.23e-05	3.54e-10	-2.442e+16
-11.563	-12.025	000:55:43.562 	1.8e-08	1e-99	2.23e-05	3.52e-10	-2.462e+16
-11.25	-11.7	000:55:43.875 	1.7e-08	1e-99	2.23e-05	3.48e-10	-2.502e+16
-10.938	-11.375	000:55:44.187 	1.7e-08	1e-99	2.23e-05	3.56e-10	-2.422e+16
-10.625	-11.05	000:55:44.500 	1.7e-08	1e-99	2.23e-05	3.51e-10	-2.472e+16
-10.313	-10.725	000:55:44.812 	1.8e-08	1e-99	2.23e-05	3.54e-10	-2.442e+16
-10.0	-10.4	000:55:45.125 	1.8e-08	1e-99	2.23e-05	3.51e-10	-2.472e+16
-9.688	-10.075	000:55:45.437 	1.7e-08	1e-99	2.23e-05	3.53e-10	-2.452e+16
-9.375	-9.75	000:55:45.750 	1.7e-08	1e-99	2.22e-05	3.56e-10	-2.422e+16
-9.063	-9.425	000:55:46.062 	1.8e-08	1e-99	2.23e-05	3.54e-10	-2.442e+16
-8.75	-9.1	000:55:46.375 	1.8e-08	1e-99	2.22e-05	3.49e-10	-2.492e+16
-8.438	-8.775	000:55:46.687 	1.8e-08	1e-99	2.22e-05	3.45e-10	-2.532e+16
-8.125	-8.45	000:55:47.000 	1.7e-08	1e-99	2.23e-05	3.6e-10	-2.382e+16
-7.813	-8.125	000:55:47.312 	1.7e-08	1e-99	2.23e-05	3.48e-10	-2.502e+16
-7.5	-7.8	000:55:47.625 	1.8e-08	1e-99	2.23e-05	3.54e-10	-2.442e+16
-7.188	-7.475	000:55:47.937 	1.8e-08	1e-99	2.23e-05	3.56e-10	-2.422e+16
-6.875	-7.15	000:55:48.250 	1.8e-08	1e-99	2.23e-05	3.52e-10	-2.462e+16
-6.563	-6.825	000:55:48.562 	1.8e-08	1e-99	2.23e-05	3.57e-10	-2.412e+16
-6.25	-6.5	000:55:48.875 	1.7e-08	1e-99	2.23e-05	3.47e-10	-2.512e+16
-5.938	-6.175	000:55:49.187 	1.8e-08	1e-99	2.23e-05	3.54e-10	-2.442e+16
-5.625	-5.85	000:55:49.500 	1.8e-08	1e-99	2.23e-05	3.5e-10	-2.482e+16
-5.313	-5.525	000:55:49.812 	1.7e-08	1e-99	2.23e-05	3.47e-10	-2.512e+16
-5.0	-5.2	000:55:50.125 	1.8e-08	1e-99	2.23e-05	3.56e-10	-2.422e+16
-4.688	-4.875	000:55:50.437 	1.8e-08	1e-99	2.23e-05	3.53e-10	-2.452e+16
-4.375	-4.55	000:55:50.750 	1.8e-08	1e-99	2.23e-05	3.62e-10	-2.362e+16
-4.063	-4.225	000:55:51.062 	1.8e-08	1e-99	2.23e-05	3.54e-10	-2.442e+16
-3.75	-3.9	000:55:51.375 	1.8e-08	1e-99	2.23e-05	3.56e-10	-2.422e+16
-3.438	-3.575	000:55:51.687 	1.8e-08	1e-99	2.23e-05	3.55e-10	-2.432e+16
-3.125	-3.25	000:55:52.000 	1.8e-08	1e-99	2.22e-05	3.52e-10	-2.462e+16
-2.813	-2.925	000:55:52.312 	1.8e-08	1e-99	2.22e-05	3.53e-10	-2.452e+16
-2.5	-2.6	000:55:52.625 	1.7e-08	1e-99	2.22e-05	3.52e-10	-2.462e+16
-2.188	-2.275	000:55:52.937 	1.7e-08	1e-99	2.23e-05	3.48e-10	-2.502e+16
-1.875	-1.95	000:55:53.250 	1.7e-08	1e-99	2.23e-05	3.6e-10	-2.382e+16
-1.563	-1.625	000:55:53.562 	1.8e-08	1e-99	2.23e-05	3.51e-10	-2.472e+16
-1.25	-1.3	000:55:53.875 	1.8e-08	1e-99	2.23e-05	3.52e-10	-2.462e+16
-0.938	-0.975	000:55:54.187 	1.8e-08	1e-99	2.23e-05	3.47e-10	-2.512e+16
-0.625	-0.65	000:55:54.500 	9.2e-08	1e-99	2.23e-05	3.47e-10	-2.512e+16
-0.313	-0.325	000:55:54.812 	2.2e-05	1e-99	2.23e-05	3.53e-10	-2.452e+16
0.0	0.0	000:55:55.125 	9.6e-05	1e-99	2.23e-05	3.54e-10	-2.442e+16
0.312	0.325	000:55:55.437 	8.9e-05	1e-99	2.23e-05	3.53e-10	-2.452e+16
0.625	0.65	000:55:55.750 	9e-05	1e-99	2.23e-05	3.53e-10	-2.452e+16
0.937	0.975	000:55:56.062 	9.3e-05	1e-99	2.23e-05	3.52e-10	-2.462e+16
1.25	1.3	000:55:56.375 	8.9e-05	1e-99	2.23e-05	3.6e-10	-2.382e+16
1.562	1.625	000:55:56.687 	9e-05	1e-99	2.23e-05	3.63e-10	-2.352e+16
1.875	1.95	000:55:57.000 	0.00016	1e-99	2.23e-05	3.58e-10	-2.402e+16
2.187	2.275	000:55:57.312 	0.00017	1e-99	2.23e-05	3.58e-10	-2.402e+16
2.5	2.6	000:55:57.625 	9.1e-05	1e-99	2.23e-05	3.62e-10	-2.362e+16
2.812	2.925	000:55:57.937 	9e-05	1e-99	2.23e-05	3.51e-10	-2.472e+16
3.125	3.25	000:55:58.250 	9.2e-05	1e-99	2.23e-05	3.52e-10	-2.462e+16
3.437	3.575	000:55:58.562 	9.6e-05	1e-99	2.23e-05	3.53e-10	-2.452e+16
3.75	3.9	000:55:58.875 	9.4e-05	1e-99	2.23e-05	3.52e-10	-2.462e+16
4.062	4.225	000:55:59.187 	8.8e-05	1e-99	2.23e-05	3.52e-10	-2.462e+16
4.375	4.55	000:55:59.500 	9.6e-05	1e-99	2.23e-05	3.56e-10	-2.422e+16
4.687	4.875	000:55:59.812 	0.0001	1e-99	2.23e-05	3.6e-10	-2.382e+16
5.0	5.2	000:56:00.125 	9.7e-05	1e-99	2.23e-05	3.57e-10	-2.412e+16
5.312	5.525	000:56:00.437 	9.1e-05	1e-99	2.23e-05	3.56e-10	-2.422e+16
5.625	5.85	000:56:00.750 	8.7e-05	1e-99	2.23e-05	3.56e-10	-2.422e+16
5.937	6.175	000:56:01.062 	9.9e-05	1e-99	2.23e-05	3.54e-10	-2.442e+16
6.25	6.5	000:56:01.375 	0.0001	1e-99	2.23e-05	3.57e-10	-2.412e+16
6.562	6.825	000:56:01.687 	9.4e-05	1e-99	2.23e-05	3.55e-10	-2.432e+16
6.875	7.15	000:56:02.000 	9.1e-05	1e-99	2.23e-05	3.53e-10	-2.452e+16
7.187	7.475	000:56:02.312 	9.2e-05	1e-99	2.23e-05	3.6e-10	-2.382e+16
7.5	7.8	000:56:02.625 	9.8e-05	1e-99	2.23e-05	3.52e-10	-2.462e+16
7.812	8.125	000:56:02.937 	9.6e-05	1e-99	2.23e-05	3.55e-10	-2.432e+16
8.125	8.45	000:56:03.250 	8.9e-05	1e-99	2.24e-05	3.64e-10	-2.342e+16
8.437	8.775	000:56:03.562 	8.7e-05	1e-99	2.23e-05	3.54e-10	-2.442e+16
8.75	9.1	000:56:03.875 	9.7e-05	1e-99	2.23e-05	3.6e-10	-2.382e+16
9.062	9.425	000:56:04.187 	9.8e-05	1e-99	2.23e-05	3.6e-10	-2.382e+16
9.375	9.75	000:56:04.500 	9.1e-05	1e-99	2.23e-05	3.65e-10	-2.332e+16
9.687	10.075	000:56:04.812 	9.2e-05	1e-99	2.23e-05	3.56e-10	-2.422e+16
10.0	10.4	000:56:05.125 	0.00023	1e-99	2.23e-05	3.69e-10	-2.292e+16
10.312	10.725	000:56:05.437 	0.00015	1e-99	2.23e-05	3.73e-10	-2.252e+16
10.625	11.05	000:56:05.750 	9.4e-05	1e-99	2.23e-05	3.63e-10	-2.352e+16
10.937	11.375	000:56:06.062 	9e-05	1e-99	2.23e-05	3.61e-10	-2.372e+16
11.25	11.7	000:56:06.375 	9e-05	1e-99	2.23e-05	3.72e-10	-2.262e+16
11.562	12.025	000:56:06.687 	9.5e-05	1e-99	2.23e-05	3.7e-10	-2.282e+16
11.875	12.35	000:56:07.000 	9.3e-05	1e-99	2.23e-05	3.7e-10	-2.282e+16
12.187	12.675	000:56:07.312 	8.9e-05	1e-99	2.23e-05	3.68e-10	-2.302e+16
12.5	13.0	000:56:07.625 	8.9e-05	1e-99	2.23e-05	3.74e-10	-2.242e+16
12.812	13.325	000:56:07.937 	0.0001	1e-99	2.23e-05	3.81e-10	-2.172e+16
13.125	13.65	000:56:08.250 	0.0001	1e-99	2.23e-05	3.77e-10	-2.212e+16
13.437	13.975	000:56:08.562 	8.9e-05	1e-99	2.23e-05	3.81e-10	-2.172e+16
13.75	14.3	000:56:08.875 	9.2e-05	1e-99	2.23e-05	3.8e-10	-2.182e+16
14.062	14.625	000:56:09.187 	0.0001	1e-99	2.24e-05	3.78e-10	-2.202e+16
14.375	14.95	000:56:09.500 	9.4e-05	1e-99	2.23e-05	3.87e-10	-2.112e+16
14.687	15.275	000:56:09.812 	9.1e-05	1e-99	2.24e-05	3.93e-10	-2.052e+16
15.0	15.6	000:56:10.125 	9.2e-05	1e-99	2.24e-05	3.96e-10	-2.022e+16
15.312	15.925	000:56:10.437 	9.5e-05	1e-99	2.24e-05	3.89e-10	-2.092e+16
15.625	16.25	000:56:10.750 	9.7e-05	1e-99	2.24e-05	3.91e-10	-2.072e+16
15.937	16.575	000:56:11.062 	8.9e-05	1e-99	2.23e-05	3.99e-10	-1.992e+16
16.25	16.9	000:56:11.375 	8.7e-05	1e-99	2.24e-05	4.04e-10	-1.942e+16
16.562	17.225	000:56:11.687 	9.5e-05	1e-99	2.23e-05	3.94e-10	-2.042e+16
16.875	17.55	000:56:12.000 	0.0001	1e-99	2.23e-05	4.13e-10	-1.852e+16
17.187	17.875	000:56:12.312 	9.3e-05	1e-99	2.23e-05	4.14e-10	-1.842e+16
17.5	18.2	000:56:12.625 	8.9e-05	1e-99	2.23e-05	4.08e-10	-1.902e+16
17.812	18.525	000:56:12.937 	0.0001	1e-99	2.23e-05	4.09e-10	-1.892e+16
