time [s]	34319 PDP 8 No	34319 PDP 8 Time	34319 PDP 8 Trigger	34319 PDP 8 FIG	34319 PDP 8 qmsTP	34319 PDP 8 m2	34319 PDP 8 h2
-19.687	-20.475	001:43:36.172 	1.7e-08	1e-99	2.23e-05	5.07e-10	-9.12e+15
-19.375	-20.15	001:43:36.484 	1.9e-08	1e-99	2.23e-05	5.09e-10	-8.92e+15
-19.062	-19.825	001:43:36.797 	1.8e-08	1e-99	2.23e-05	4.99e-10	-9.92e+15
-18.75	-19.5	001:43:37.109 	1.8e-08	1e-99	2.23e-05	5.11e-10	-8.72e+15
-18.437	-19.175	001:43:37.422 	1.8e-08	1e-99	2.23e-05	5.13e-10	-8.52e+15
-18.125	-18.85	001:43:37.734 	1.7e-08	1e-99	2.23e-05	5.19e-10	-7.92e+15
-17.812	-18.525	001:43:38.047 	1.8e-08	1e-99	2.23e-05	5.03e-10	-9.52e+15
-17.5	-18.2	001:43:38.359 	1.8e-08	1e-99	2.23e-05	5.07e-10	-9.12e+15
-17.187	-17.875	001:43:38.672 	1.8e-08	1e-99	2.23e-05	5.01e-10	-9.72e+15
-16.875	-17.55	001:43:38.984 	1.8e-08	1e-99	2.23e-05	5.01e-10	-9.72e+15
-16.562	-17.225	001:43:39.297 	1.7e-08	1e-99	2.23e-05	5.11e-10	-8.72e+15
-16.25	-16.9	001:43:39.609 	1.7e-08	1e-99	2.23e-05	4.96e-10	-1.022e+16
-15.937	-16.575	001:43:39.922 	1.7e-08	1e-99	2.23e-05	5.11e-10	-8.72e+15
-15.625	-16.25	001:43:40.234 	1.8e-08	1e-99	2.22e-05	5.14e-10	-8.42e+15
-15.312	-15.925	001:43:40.547 	1.8e-08	1e-99	2.23e-05	5.03e-10	-9.52e+15
-15.0	-15.6	001:43:40.859 	1.8e-08	1e-99	2.23e-05	5.13e-10	-8.52e+15
-14.687	-15.275	001:43:41.172 	1.7e-08	1e-99	2.22e-05	5.04e-10	-9.42e+15
-14.375	-14.95	001:43:41.484 	1.7e-08	1e-99	2.22e-05	5.02e-10	-9.62e+15
-14.062	-14.625	001:43:41.797 	1.8e-08	1e-99	2.23e-05	5.07e-10	-9.12e+15
-13.75	-14.3	001:43:42.109 	1.8e-08	1e-99	2.23e-05	5.11e-10	-8.72e+15
-13.437	-13.975	001:43:42.422 	1.8e-08	1e-99	2.23e-05	5.07e-10	-9.12e+15
-13.125	-13.65	001:43:42.734 	1.7e-08	1e-99	2.23e-05	5.13e-10	-8.52e+15
-12.812	-13.325	001:43:43.047 	1.7e-08	1e-99	2.23e-05	5.07e-10	-9.12e+15
-12.5	-13.0	001:43:43.359 	1.7e-08	1e-99	2.23e-05	5.02e-10	-9.62e+15
-12.187	-12.675	001:43:43.672 	1.7e-08	1e-99	2.23e-05	5.05e-10	-9.32e+15
