time [s]	34317 PDP 8 No	34317 PDP 8 Time	34317 PDP 8 Trigger	34317 PDP 8 FIG	34317 PDP 8 qmsTP	34317 PDP 8 m2	34317 PDP 8 h2
-19.687	-20.475	001:26:23.828 	1.7e-08	1e-99	2.23e-05	4.57e-10	-1.412e+16
-19.375	-20.15	001:26:24.140 	1.8e-08	1e-99	2.23e-05	4.64e-10	-1.342e+16
-19.062	-19.825	001:26:24.453 	1.9e-08	1e-99	2.23e-05	4.56e-10	-1.422e+16
-18.75	-19.5	001:26:24.765 	1.8e-08	1e-99	2.23e-05	4.68e-10	-1.302e+16
-18.437	-19.175	001:26:25.078 	1.7e-08	1e-99	2.23e-05	4.66e-10	-1.322e+16
-18.125	-18.85	001:26:25.390 	1.7e-08	1e-99	2.23e-05	4.6e-10	-1.382e+16
-17.812	-18.525	001:26:25.703 	1.8e-08	1e-99	2.23e-05	4.64e-10	-1.342e+16
-17.5	-18.2	001:26:26.015 	1.8e-08	1e-99	2.23e-05	4.59e-10	-1.392e+16
-17.187	-17.875	001:26:26.328 	1.8e-08	1e-99	2.23e-05	4.58e-10	-1.402e+16
-16.875	-17.55	001:26:26.640 	1.7e-08	1e-99	2.23e-05	4.71e-10	-1.272e+16
-16.562	-17.225	001:26:26.953 	1.7e-08	1e-99	2.23e-05	4.59e-10	-1.392e+16
-16.25	-16.9	001:26:27.265 	1.7e-08	1e-99	2.23e-05	4.63e-10	-1.352e+16
-15.937	-16.575	001:26:27.578 	1.7e-08	1e-99	2.23e-05	4.67e-10	-1.312e+16
-15.625	-16.25	001:26:27.890 	1.8e-08	1e-99	2.23e-05	4.58e-10	-1.402e+16
-15.312	-15.925	001:26:28.203 	1.8e-08	1e-99	2.23e-05	4.64e-10	-1.342e+16
-15.0	-15.6	001:26:28.515 	1.7e-08	1e-99	2.22e-05	4.6e-10	-1.382e+16
-14.687	-15.275	001:26:28.828 	1.8e-08	1e-99	2.22e-05	4.53e-10	-1.452e+16
-14.375	-14.95	001:26:29.140 	1.8e-08	1e-99	2.22e-05	4.61e-10	-1.372e+16
-14.062	-14.625	001:26:29.453 	1.7e-08	1e-99	2.22e-05	4.62e-10	-1.362e+16
-13.75	-14.3	001:26:29.765 	1.8e-08	1e-99	2.22e-05	4.61e-10	-1.372e+16
-13.437	-13.975	001:26:30.078 	1.8e-08	1e-99	2.22e-05	4.58e-10	-1.402e+16
-13.125	-13.65	001:26:30.390 	1.8e-08	1e-99	2.23e-05	4.56e-10	-1.422e+16
-12.812	-13.325	001:26:30.703 	1.8e-08	1e-99	2.22e-05	4.53e-10	-1.452e+16
-12.5	-13.0	001:26:31.015 	1.7e-08	1e-99	2.23e-05	4.53e-10	-1.452e+16
-12.187	-12.675	001:26:31.328 	1.7e-08	1e-99	2.23e-05	4.67e-10	-1.312e+16
-11.875	-12.35	001:26:31.640 	1.8e-08	1e-99	2.23e-05	4.58e-10	-1.402e+16
-11.562	-12.025	001:26:31.953 	1.8e-08	1e-99	2.23e-05	4.58e-10	-1.402e+16
-11.25	-11.7	001:26:32.265 	1.8e-08	1e-99	2.23e-05	4.64e-10	-1.342e+16
-10.937	-11.375	001:26:32.578 	1.7e-08	1e-99	2.23e-05	4.61e-10	-1.372e+16
-10.625	-11.05	001:26:32.890 	1.8e-08	1e-99	2.23e-05	4.59e-10	-1.392e+16
-10.312	-10.725	001:26:33.203 	1.8e-08	1e-99	2.23e-05	4.61e-10	-1.372e+16
-10.0	-10.4	001:26:33.515 	1.8e-08	1e-99	2.23e-05	4.69e-10	-1.292e+16
-9.687	-10.075	001:26:33.828 	1.8e-08	1e-99	2.23e-05	4.65e-10	-1.332e+16
-9.375	-9.75	001:26:34.140 	1.7e-08	1e-99	2.23e-05	4.67e-10	-1.312e+16
-9.062	-9.425	001:26:34.453 	1.8e-08	1e-99	2.23e-05	4.63e-10	-1.352e+16
-8.75	-9.1	001:26:34.765 	1.8e-08	1e-99	2.23e-05	4.53e-10	-1.452e+16
-8.437	-8.775	001:26:35.078 	1.7e-08	1e-99	2.23e-05	4.67e-10	-1.312e+16
-8.125	-8.45	001:26:35.390 	1.7e-08	1e-99	2.23e-05	4.67e-10	-1.312e+16
-7.812	-8.125	001:26:35.703 	1.8e-08	1e-99	2.23e-05	4.65e-10	-1.332e+16
-7.5	-7.8	001:26:36.015 	1.8e-08	1e-99	2.22e-05	4.58e-10	-1.402e+16
-7.187	-7.475	001:26:36.328 	1.7e-08	1e-99	2.22e-05	4.66e-10	-1.322e+16
-6.875	-7.15	001:26:36.640 	1.7e-08	1e-99	2.22e-05	4.63e-10	-1.352e+16
