time [s]	34313 PDP 8 No	34313 PDP 8 Time	34313 PDP 8 Trigger	34313 PDP 8 FIG	34313 PDP 8 qmsTP	34313 PDP 8 m2	34313 PDP 8 h2
-20.0	-20.8	000:46:35.750 	1.8e-08	1e-99	2.22e-05	3.01e-10	-2.972e+16
-19.688	-20.475	000:46:36.062 	1.8e-08	1e-99	2.22e-05	3.14e-10	-2.842e+16
-19.375	-20.15	000:46:36.375 	1.8e-08	1e-99	2.22e-05	3.05e-10	-2.932e+16
-19.063	-19.825	000:46:36.687 	1.7e-08	1e-99	2.22e-05	3.07e-10	-2.912e+16
-18.75	-19.5	000:46:37.000 	1.8e-08	1e-99	2.22e-05	3.06e-10	-2.922e+16
-18.438	-19.175	000:46:37.312 	1.8e-08	1e-99	2.22e-05	3.07e-10	-2.912e+16
-18.125	-18.85	000:46:37.625 	1.8e-08	1e-99	2.22e-05	3.06e-10	-2.922e+16
-17.813	-18.525	000:46:37.937 	1.8e-08	1e-99	2.22e-05	3e-10	-2.982e+16
-17.5	-18.2	000:46:38.250 	1.7e-08	1e-99	2.22e-05	3.04e-10	-2.942e+16
-17.188	-17.875	000:46:38.562 	1.8e-08	1e-99	2.22e-05	3.05e-10	-2.932e+16
-16.875	-17.55	000:46:38.875 	1.8e-08	1e-99	2.23e-05	2.99e-10	-2.992e+16
-16.563	-17.225	000:46:39.187 	1.8e-08	1e-99	2.22e-05	2.99e-10	-2.992e+16
-16.25	-16.9	000:46:39.500 	1.7e-08	1e-99	2.23e-05	3.02e-10	-2.962e+16
-15.938	-16.575	000:46:39.812 	1.8e-08	1e-99	2.23e-05	3e-10	-2.982e+16
-15.625	-16.25	000:46:40.125 	1.8e-08	1e-99	2.23e-05	3.02e-10	-2.962e+16
-15.313	-15.925	000:46:40.437 	1.8e-08	1e-99	2.23e-05	3.03e-10	-2.952e+16
-15.0	-15.6	000:46:40.750 	1.7e-08	1e-99	2.23e-05	3.09e-10	-2.892e+16
-14.688	-15.275	000:46:41.062 	1.8e-08	1e-99	2.23e-05	3.03e-10	-2.952e+16
-14.375	-14.95	000:46:41.375 	1.8e-08	1e-99	2.23e-05	3.12e-10	-2.862e+16
-14.063	-14.625	000:46:41.687 	1.8e-08	1e-99	2.23e-05	2.97e-10	-3.012e+16
-13.75	-14.3	000:46:42.000 	1.8e-08	1e-99	2.23e-05	2.99e-10	-2.992e+16
-13.438	-13.975	000:46:42.312 	1.8e-08	1e-99	2.22e-05	3.09e-10	-2.892e+16
-13.125	-13.65	000:46:42.625 	1.8e-08	1e-99	2.22e-05	3e-10	-2.982e+16
-12.813	-13.325	000:46:42.937 	1.8e-08	1e-99	2.22e-05	3.02e-10	-2.962e+16
-12.5	-13.0	000:46:43.250 	1.8e-08	1e-99	2.22e-05	3.17e-10	-2.812e+16
-12.188	-12.675	000:46:43.562 	1.7e-08	1e-99	2.22e-05	3.04e-10	-2.942e+16
-11.875	-12.35	000:46:43.875 	1.8e-08	1e-99	2.22e-05	3.07e-10	-2.912e+16
-11.563	-12.025	000:46:44.187 	1.8e-08	1e-99	2.22e-05	3.04e-10	-2.942e+16
-11.25	-11.7	000:46:44.500 	1.8e-08	1e-99	2.22e-05	3.08e-10	-2.902e+16
-10.938	-11.375	000:46:44.812 	1.7e-08	1e-99	2.22e-05	3.04e-10	-2.942e+16
-10.625	-11.05	000:46:45.125 	1.7e-08	1e-99	2.22e-05	3.04e-10	-2.942e+16
-10.313	-10.725	000:46:45.437 	1.8e-08	1e-99	2.22e-05	3.02e-10	-2.962e+16
-10.0	-10.4	000:46:45.750 	1.8e-08	1e-99	2.23e-05	3.01e-10	-2.972e+16
-9.688	-10.075	000:46:46.062 	1.8e-08	1e-99	2.23e-05	3.08e-10	-2.902e+16
-9.375	-9.75	000:46:46.375 	1.8e-08	1e-99	2.23e-05	3.06e-10	-2.922e+16
-9.063	-9.425	000:46:46.687 	1.8e-08	1e-99	2.23e-05	3.06e-10	-2.922e+16
-8.75	-9.1	000:46:47.000 	1.8e-08	1e-99	2.23e-05	2.91e-10	-3.072e+16
-8.438	-8.775	000:46:47.312 	1.8e-08	1e-99	2.23e-05	3.01e-10	-2.972e+16
-8.125	-8.45	000:46:47.625 	1.8e-08	1e-99	2.23e-05	3.1e-10	-2.882e+16
-7.813	-8.125	000:46:47.937 	1.7e-08	1e-99	2.23e-05	3.05e-10	-2.932e+16
-7.5	-7.8	000:46:48.250 	1.7e-08	1e-99	2.23e-05	3.08e-10	-2.902e+16
-7.188	-7.475	000:46:48.562 	1.8e-08	1e-99	2.23e-05	3.05e-10	-2.932e+16
-6.875	-7.15	000:46:48.875 	1.7e-08	1e-99	2.22e-05	3.1e-10	-2.882e+16
-6.563	-6.825	000:46:49.187 	1.7e-08	1e-99	2.22e-05	3.08e-10	-2.902e+16
-6.25	-6.5	000:46:49.500 	1.7e-08	1e-99	2.22e-05	3.09e-10	-2.892e+16
-5.938	-6.175	000:46:49.812 	1.7e-08	1e-99	2.22e-05	3.12e-10	-2.862e+16
-5.625	-5.85	000:46:50.125 	1.8e-08	1e-99	2.22e-05	3.05e-10	-2.932e+16
-5.313	-5.525	000:46:50.437 	1.8e-08	1e-99	2.22e-05	3.04e-10	-2.942e+16
-5.0	-5.2	000:46:50.750 	1.8e-08	1e-99	2.22e-05	3.15e-10	-2.832e+16
-4.688	-4.875	000:46:51.062 	1.8e-08	1e-99	2.22e-05	3.1e-10	-2.882e+16
-4.375	-4.55	000:46:51.375 	1.8e-08	1e-99	2.22e-05	3.01e-10	-2.972e+16
-4.063	-4.225	000:46:51.687 	1.8e-08	1e-99	2.22e-05	3.13e-10	-2.852e+16
-3.75	-3.9	000:46:52.000 	1.7e-08	1e-99	2.22e-05	3.08e-10	-2.902e+16
-3.438	-3.575	000:46:52.312 	1.7e-08	1e-99	2.22e-05	3.03e-10	-2.952e+16
-3.125	-3.25	000:46:52.625 	1.8e-08	1e-99	2.22e-05	3.02e-10	-2.962e+16
-2.813	-2.925	000:46:52.937 	1.7e-08	1e-99	2.23e-05	3.06e-10	-2.922e+16
-2.5	-2.6	000:46:53.250 	1.7e-08	1e-99	2.23e-05	3.07e-10	-2.912e+16
-2.188	-2.275	000:46:53.562 	1.8e-08	1e-99	2.23e-05	3.01e-10	-2.972e+16
-1.875	-1.95	000:46:53.875 	1.8e-08	1e-99	2.23e-05	3.04e-10	-2.942e+16
-1.563	-1.625	000:46:54.187 	1.7e-08	1e-99	2.23e-05	3e-10	-2.982e+16
-1.25	-1.3	000:46:54.500 	1.7e-08	1e-99	2.23e-05	3.03e-10	-2.952e+16
