time [s]	34316 PDP 8 No	34316 PDP 8 Time	34316 PDP 8 Trigger	34316 PDP 8 FIG	34316 PDP 8 qmsTP	34316 PDP 8 m2	34316 PDP 8 h2
-20.0	-20.8	001:17:49.453 	1.8e-08	1e-99	2.22e-05	3.63e-10	-2.352e+16
-19.688	-20.475	001:17:49.765 	1.8e-08	1e-99	2.22e-05	3.66e-10	-2.322e+16
-19.375	-20.15	001:17:50.078 	1.8e-08	1e-99	2.22e-05	3.69e-10	-2.292e+16
-19.063	-19.825	001:17:50.390 	1.7e-08	1e-99	2.22e-05	3.71e-10	-2.272e+16
-18.75	-19.5	001:17:50.703 	1.8e-08	1e-99	2.22e-05	3.75e-10	-2.232e+16
-18.438	-19.175	001:17:51.015 	1.8e-08	1e-99	2.22e-05	3.66e-10	-2.322e+16
-18.125	-18.85	001:17:51.328 	1.7e-08	1e-99	2.23e-05	3.72e-10	-2.262e+16
-17.813	-18.525	001:17:51.640 	1.8e-08	1e-99	2.23e-05	3.76e-10	-2.222e+16
-17.5	-18.2	001:17:51.953 	1.8e-08	1e-99	2.23e-05	3.68e-10	-2.302e+16
-17.188	-17.875	001:17:52.265 	1.7e-08	1e-99	2.23e-05	3.66e-10	-2.322e+16
-16.875	-17.55	001:17:52.578 	1.7e-08	1e-99	2.23e-05	3.74e-10	-2.242e+16
-16.563	-17.225	001:17:52.890 	1.8e-08	1e-99	2.23e-05	3.7e-10	-2.282e+16
-16.25	-16.9	001:17:53.203 	1.8e-08	1e-99	2.23e-05	3.71e-10	-2.272e+16
-15.938	-16.575	001:17:53.515 	1.8e-08	1e-99	2.23e-05	3.68e-10	-2.302e+16
-15.625	-16.25	001:17:53.828 	1.7e-08	1e-99	2.23e-05	3.73e-10	-2.252e+16
-15.313	-15.925	001:17:54.140 	1.8e-08	1e-99	2.23e-05	3.69e-10	-2.292e+16
-15.0	-15.6	001:17:54.453 	1.8e-08	1e-99	2.23e-05	3.67e-10	-2.312e+16
-14.688	-15.275	001:17:54.765 	1.8e-08	1e-99	2.23e-05	3.73e-10	-2.252e+16
-14.375	-14.95	001:17:55.078 	1.7e-08	1e-99	2.22e-05	3.73e-10	-2.252e+16
-14.063	-14.625	001:17:55.390 	1.8e-08	1e-99	2.22e-05	3.66e-10	-2.322e+16
-13.75	-14.3	001:17:55.703 	1.8e-08	1e-99	2.22e-05	3.65e-10	-2.332e+16
-13.438	-13.975	001:17:56.015 	1.8e-08	1e-99	2.22e-05	3.74e-10	-2.242e+16
-13.125	-13.65	001:17:56.328 	1.7e-08	1e-99	2.22e-05	3.67e-10	-2.312e+16
-12.813	-13.325	001:17:56.640 	1.7e-08	1e-99	2.22e-05	3.7e-10	-2.282e+16
-12.5	-13.0	001:17:56.953 	1.8e-08	1e-99	2.22e-05	3.71e-10	-2.272e+16
-12.188	-12.675	001:17:57.265 	1.8e-08	1e-99	2.22e-05	3.77e-10	-2.212e+16
-11.875	-12.35	001:17:57.578 	1.8e-08	1e-99	2.22e-05	3.69e-10	-2.292e+16
-11.563	-12.025	001:17:57.890 	1.7e-08	1e-99	2.22e-05	3.72e-10	-2.262e+16
-11.25	-11.7	001:17:58.203 	1.7e-08	1e-99	2.22e-05	3.72e-10	-2.262e+16
-10.938	-11.375	001:17:58.515 	1.7e-08	1e-99	2.22e-05	3.73e-10	-2.252e+16
-10.625	-11.05	001:17:58.828 	1.7e-08	1e-99	2.22e-05	3.71e-10	-2.272e+16
