time [s]	34315 PDP 8 No	34315 PDP 8 Time	34315 PDP 8 Trigger	34315 PDP 8 FIG	34315 PDP 8 qmsTP	34315 PDP 8 m2	34315 PDP 8 h2
-19.687	-20.475	001:02:49.500 	1.8e-08	1e-99	2.23e-05	4.04e-10	-1.942e+16
-19.375	-20.15	001:02:49.812 	1.8e-08	1e-99	2.24e-05	4.15e-10	-1.832e+16
-19.062	-19.825	001:02:50.125 	1.8e-08	1e-99	2.24e-05	4.09e-10	-1.892e+16
-18.75	-19.5	001:02:50.437 	1.8e-08	1e-99	2.24e-05	4.01e-10	-1.972e+16
-18.437	-19.175	001:02:50.750 	1.7e-08	1e-99	2.23e-05	4.05e-10	-1.932e+16
-18.125	-18.85	001:02:51.062 	1.8e-08	1e-99	2.23e-05	4.11e-10	-1.872e+16
-17.812	-18.525	001:02:51.375 	1.8e-08	1e-99	2.23e-05	4.07e-10	-1.912e+16
-17.5	-18.2	001:02:51.687 	1.7e-08	1e-99	2.23e-05	4.08e-10	-1.902e+16
-17.187	-17.875	001:02:52.000 	1.7e-08	1e-99	2.23e-05	4.08e-10	-1.902e+16
-16.875	-17.55	001:02:52.312 	1.7e-08	1e-99	2.23e-05	4.09e-10	-1.892e+16
-16.562	-17.225	001:02:52.625 	1.7e-08	1e-99	2.23e-05	3.98e-10	-2.002e+16
-16.25	-16.9	001:02:52.937 	1.8e-08	1e-99	2.23e-05	4.08e-10	-1.902e+16
-15.937	-16.575	001:02:53.250 	1.7e-08	1e-99	2.23e-05	4.07e-10	-1.912e+16
-15.625	-16.25	001:02:53.562 	1.7e-08	1e-99	2.23e-05	4.05e-10	-1.932e+16
-15.312	-15.925	001:02:53.875 	1.8e-08	1e-99	2.23e-05	4.15e-10	-1.832e+16
-15.0	-15.6	001:02:54.187 	1.8e-08	1e-99	2.23e-05	4.11e-10	-1.872e+16
-14.687	-15.275	001:02:54.500 	1.8e-08	1e-99	2.23e-05	4.06e-10	-1.922e+16
-14.375	-14.95	001:02:54.812 	1.7e-08	1e-99	2.23e-05	4.08e-10	-1.902e+16
-14.062	-14.625	001:02:55.125 	1.8e-08	1e-99	2.23e-05	4.1e-10	-1.882e+16
-13.75	-14.3	001:02:55.437 	1.8e-08	1e-99	2.23e-05	4.09e-10	-1.892e+16
-13.437	-13.975	001:02:55.750 	1.8e-08	1e-99	2.23e-05	4.13e-10	-1.852e+16
-13.125	-13.65	001:02:56.062 	1.8e-08	1e-99	2.23e-05	3.99e-10	-1.992e+16
-12.812	-13.325	001:02:56.375 	1.7e-08	1e-99	2.24e-05	4e-10	-1.982e+16
-12.5	-13.0	001:02:56.687 	1.8e-08	1e-99	2.24e-05	4.02e-10	-1.962e+16
