time [s]	34318 PDP 8 No	34318 PDP 8 Time	34318 PDP 8 Trigger	34318 PDP 8 FIG	34318 PDP 8 qmsTP	34318 PDP 8 m2	34318 PDP 8 h2
-20.0	-20.8	001:35:30.703 	1.7e-08	1e-99	2.23e-05	4.72e-10	-1.262e+16
-19.688	-20.475	001:35:31.015 	1.8e-08	1e-99	2.23e-05	4.8e-10	-1.182e+16
-19.375	-20.15	001:35:31.328 	1.7e-08	1e-99	2.23e-05	4.78e-10	-1.202e+16
-19.063	-19.825	001:35:31.640 	1.8e-08	1e-99	2.23e-05	4.8e-10	-1.182e+16
-18.75	-19.5	001:35:31.953 	1.8e-08	1e-99	2.23e-05	4.69e-10	-1.292e+16
-18.438	-19.175	001:35:32.265 	1.7e-08	1e-99	2.23e-05	4.8e-10	-1.182e+16
-18.125	-18.85	001:35:32.578 	1.8e-08	1e-99	2.23e-05	4.76e-10	-1.222e+16
-17.813	-18.525	001:35:32.890 	1.8e-08	1e-99	2.23e-05	4.76e-10	-1.222e+16
-17.5	-18.2	001:35:33.203 	1.8e-08	1e-99	2.22e-05	4.69e-10	-1.292e+16
-17.188	-17.875	001:35:33.515 	1.7e-08	1e-99	2.22e-05	4.79e-10	-1.192e+16
-16.875	-17.55	001:35:33.828 	1.8e-08	1e-99	2.22e-05	4.73e-10	-1.252e+16
-16.563	-17.225	001:35:34.140 	1.8e-08	1e-99	2.22e-05	4.77e-10	-1.212e+16
-16.25	-16.9	001:35:34.453 	1.8e-08	1e-99	2.22e-05	4.8e-10	-1.182e+16
-15.938	-16.575	001:35:34.765 	1.8e-08	1e-99	2.22e-05	4.84e-10	-1.142e+16
-15.625	-16.25	001:35:35.078 	1.7e-08	1e-99	2.22e-05	4.71e-10	-1.272e+16
-15.313	-15.925	001:35:35.390 	1.8e-08	1e-99	2.22e-05	4.62e-10	-1.362e+16
-15.0	-15.6	001:35:35.703 	1.8e-08	1e-99	2.22e-05	4.8e-10	-1.182e+16
-14.688	-15.275	001:35:36.015 	1.7e-08	1e-99	2.22e-05	4.75e-10	-1.232e+16
-14.375	-14.95	001:35:36.328 	1.7e-08	1e-99	2.22e-05	4.77e-10	-1.212e+16
-14.063	-14.625	001:35:36.640 	1.7e-08	1e-99	2.23e-05	4.73e-10	-1.252e+16
-13.75	-14.3	001:35:36.953 	1.8e-08	1e-99	2.23e-05	4.73e-10	-1.252e+16
-13.438	-13.975	001:35:37.265 	1.8e-08	1e-99	2.23e-05	4.7e-10	-1.282e+16
-13.125	-13.65	001:35:37.578 	1.7e-08	1e-99	2.23e-05	4.75e-10	-1.232e+16
-12.813	-13.325	001:35:37.890 	1.7e-08	1e-99	2.23e-05	4.76e-10	-1.222e+16
-12.5	-13.0	001:35:38.203 	1.8e-08	1e-99	2.23e-05	4.82e-10	-1.162e+16
-12.188	-12.675	001:35:38.515 	1.8e-08	1e-99	2.23e-05	4.73e-10	-1.252e+16
-11.875	-12.35	001:35:38.828 	1.7e-08	1e-99	2.23e-05	4.86e-10	-1.122e+16
-11.563	-12.025	001:35:39.140 	1.7e-08	1e-99	2.23e-05	4.79e-10	-1.192e+16
